kata,jenis,kategori,pengucapan,penjelasan,arti,gambar
Garlic bread,noun,food_drink,garlic bread,roti panggang dan dibumbui dengan mentega dan bawang putih,Roti bawang,Default.jpg
Grilled fish,None,food_drink,None,None,Ikan bakar,Default.jpg
Snack,noun,food_drink,ˈsnak,Makanan ringan: makanan yang dimakan di antara makanan biasa;Juga: makanan yang cocok untuk ngemil,Camilan,Default.jpg
Beef topside,None,food_drink,None,None,Daging sapi topside,Default.jpg
Burger,noun,food_drink,ˈbər-gər,roti isi daging,Burger,Default.jpg
Sponge cake,noun,food_drink,sponge cake,kue ringan dibuat tanpa memperpendek,Kue bolu,Default.jpg
Chicken meat,None,food_drink,None,None,Daging ayam,Default.jpg
Cheesecake,noun,food_drink,ˈchēz-ˌkāk,Makanan penutup yang terdiri dari isian krim yang biasanya mengandung keju yang dipanggang dalam kue atau cangkang roboh yang ditekan,kue keju,Default.jpg
Butter,noun,food_drink,ˈbə-tər,"Emulsi padat gumpalan lemak, udara, dan air yang dibuat dengan mengaduk susu atau krim dan digunakan sebagai makanan",Mentega,Default.jpg
Noodle soup,noun,food_drink,chicken noodle soup,"Sup yang dibuat dengan kaldu ayam, ayam, dan mie dan seringkali dengan sayuran cincang",Mie kuah,Default.jpg
Corned beef,noun,food_drink,corned beef,Daging sapi yang telah diawetkan dalam air asin,Daging kornet,Default.jpg
Honey,noun,food_drink,ˈhə-nē,Bahan kental manis yang dielaborasi keluar dari nektar bunga di kantung madu berbagai lebah,Sayang,Default.jpg
Tea,noun,food_drink,ˈtē,"Semak yang dibudidayakan secara luas (Camellia sinensis dari keluarga Theaceae, keluarga teh) yang berasal dari Cina, India Utara, dan Asia Tenggara dan memiliki daun hijau yang mengkilap dan bunga putih yang harum",teh,Default.jpg
Lollipop,noun,food_drink,ˈlä-lē-ˌpäp,sepotong permen keras di ujung tongkat,Lollipop,Default.jpg
Pie,noun,food_drink,ˈpī,hidangan penutup yang terdiri dari isian (seperti buah atau custard) dalam cangkang kue atau atasnya dengan kue atau keduanya,Pai,Default.jpg
Sandwich,noun,food_drink,ˈsan(d)-ˌwich,dua atau lebih irisan roti atau gulungan split yang memiliki isian di antara,Sandwich,Default.jpg
Bread,noun,food_drink,ˈbred,Makanan yang biasanya dipanggang dan ragi yang terbuat dari campuran yang konstituen dasarnya adalah tepung atau makanan,Roti,Default.jpg
Cream,noun,food_drink,ˈkrēm,Bagian susu kekuningan yang mengandung 18 hingga sekitar 40 persen kupu -kupu,Krim,Default.jpg
cookie,noun,food_drink,ˈku̇-kē,kue datar kecil atau sedikit terangkat,Kue kering,Default.jpg
Soup,noun,food_drink,ˈsüp,"Makanan cair terutama dengan daging, ikan, atau kaldu sayuran sebagai alas dan sering mengandung potongan makanan padat",Sup,Default.jpg
Stir-fry,verb,food_drink,ˈstər-ˈfrī,untuk menggoreng dengan cepat dengan api besar dalam wajan yang diminyaki ringan (seperti wajan) sambil diaduk terus menerus,Osengan,Default.jpg
Roasted chicken,None,food_drink,None,None,Ayam panggang,Default.jpg
Milk,noun,food_drink,ˈmilk,cairan yang disekresikan oleh kelenjar susu perempuan untuk memelihara anak -anak mereka,susu,Default.jpg
Chicken,noun,food_drink,ˈchi-kᵊn,unggas domestik umum (Gallus gallus) terutama saat muda;juga: dagingnya digunakan sebagai makanan,Ayam,Default.jpg
Cupcake,noun,food_drink,ˈkəp-ˌkāk,kue kecil yang dipanggang dalam cetakan seperti cuplike,Cupcake,Default.jpg
Coffee,noun,food_drink,ˈkȯ-fē,"Minuman yang dibuat oleh perkolasi, infus, atau rebusan dari biji panggang dan tanah dari tanaman kopi",Kopi,Default.jpg
Milkshake,noun,food_drink,ˈmilk-ˌshāk,"minuman yang benar -benar terguncang atau dicampur yang terbuat dari susu, sirup penyedap, dan sering es krim",Milkshake,Default.jpg
Salted egg,None,food_drink,None,None,Telur asin,Default.jpg
Scramble egg,None,food_drink,None,None,Telur orak-arik,Default.jpg
Cream soup,None,food_drink,None,None,Sup krim,Default.jpg
Chocolate,noun,food_drink,ˈchä-k(ə-)lət,minuman yang dibuat dengan mencampur cokelat dengan air atau susu,Cokelat,Default.jpg
Water,noun,food_drink,ˈwȯ-tər,"Cairan yang turun dari awan sebagai hujan, membentuk aliran, danau, dan laut, dan merupakan konstituen utama dari semua materi hidup dan bahwa ketika murni adalah oksida cair H2O yang tidak berambut, hambar, sangat sedikit terkompresiLapisan, membeku pada 0 ° C dan mendidih pada 100 ° C, memiliki kepadatan maksimum pada suhu 4 ° C dan panas spesifik yang tinggi, terionisasi dengan ion hidrogen dan hidroksil, dan merupakan konduktor listrik yang buruk dan pelarut yang baik",Air,Default.jpg
Chicken breasts,None,food_drink,None,None,Dada ayam,Default.jpg
Noodles,noun,food_drink,ˈnü-dᵊl,Orang bodoh: Simpleton,Mie,Default.jpg
Rice,noun,food_drink,ˈrīs,Biji bertepung dari rumput sereal Asia Tenggara tahunan (Oryza sativa) yang dimasak dan digunakan untuk makanan;Juga: rumput sereal ini yang dibudidayakan secara luas di iklim hangat untuk benih dan produk sampingannya,Beras,Default.jpg
biscuit,noun,food_drink,ˈbi-skət,Roti cepat kecil yang terbuat dari adonan yang telah diluncurkan dan dipotong atau dijatuhkan dari sendok,biskuit,Default.jpg
Lamb/ mutton,None,food_drink,None,None,Domba/ daging kambing,Default.jpg
Grilled chicken,None,food_drink,None,None,Ayam panggang,Default.jpg
Brownies,noun,food_drink,ˈbrau̇-nē,Peri Legendaris Baik yang Melakukan Layanan Bermanfaat di Malam Hari,brownies,Default.jpg
Salted dried fish,None,food_drink,None,None,Ikan kering asin,Default.jpg
Steamed buns,None,food_drink,None,None,Roti kukus,Default.jpg
Chocolate bar,None,food_drink,None,None,Bar Cokelat,Default.jpg
Crackers/ chips,None,food_drink,None,None,Kerupuk/ keripik,Default.jpg
Sunny side up,adjective,food_drink,ˌsə-nē-ˌsīd-ˈəp,digoreng di satu sisi saja,Telur mata sapi,Default.jpg
Meatball,noun,food_drink,ˈmēt-ˌbȯl,Bola kecil daging cincang atau giling sering dicampur dengan remah roti dan rempah -rempah,Bakso,Default.jpg
Cheese,noun,food_drink,ˈchēz,"makanan yang terdiri dari dadih susu yang terkoagulasi, terkompresi, dan biasanya matang yang terpisah dari whey",Keju,Default.jpg
Anchovy,noun,food_drink,ˈan-ˌchō-vē,"Salah satu keluarga (Engraulidae) ikan kecil yang menyerupai ikan haring yang mencakup beberapa (seperti Engraulis encrasicholus) yang merupakan ikan makanan penting yang digunakan terutama di makanan pembuka, sebagai hiasan, dan untuk membuat saus dan kesenangan",Ikan teri,Default.jpg
Iced tea,None,food_drink,None,None,Es teh,Default.jpg
Fried duck,None,food_drink,None,None,Bebek goreng,Default.jpg
Pancake,noun,food_drink,ˈpan-ˌkāk,kue datar yang terbuat dari adonan tipis dan dimasak (seperti di atas wajan) di kedua sisi,Panekuk,Default.jpg
Pizza,noun,food_drink,ˈpēt-sə,Hidangan yang biasanya dibuat dari adonan roti yang diratakan dengan campuran gurih biasanya termasuk tomat dan keju dan seringkali topping lainnya dan dipanggang - juga dipenuhi pai pizza,Pizza,Default.jpg
Omelet,noun,food_drink,ˈäm-lət,kocok telur yang dimasak tanpa diaduk sampai diatur dan disajikan terlipat menjadi dua,Telur dadar,Default.jpg
Bread rolls,None,food_drink,None,None,Roti gulung,Default.jpg
Fried fish,None,food_drink,None,None,Ikan goreng,Default.jpg
Oatmeal,noun,food_drink,ˈōt-ˌmēl,Makanan terbuat dari oat,Havermut,Default.jpg
French fries,verb,food_drink,french fry,untuk menggoreng (strip kentang atau yang serupa) dalam lemak dalam sampai coklat,kentang goreng,Default.jpg
Boiled egg,None,food_drink,None,None,Telur rebus,Default.jpg
Chips,noun,food_drink,ˈchip,"Potongan kecil yang biasanya tipis dan datar (seperti kayu atau batu) dipotong, diserang, atau dikupas",Keripik,Default.jpg
Doughnut,noun,food_drink,ˈdō-(ˌ)nət,sepotong adonan goreng manis yang biasanya berbentuk cincin,Donat,Default.jpg
Toast,noun,food_drink,ˈtōst,Irisan roti kecokelatan di kedua sisi dengan panas,Roti panggang,Default.jpg
Corn,noun,food_drink,ˈkȯrn,Partikel keras kecil: biji -bijian,Jagung,Default.jpg
Porridge,noun,food_drink,ˈpȯr-ij,Makanan lunak yang dibuat dengan makan biji -bijian atau kacang -kacangan dalam susu atau air sampai tebal,Bubur,Default.jpg
Fried noodles,None,food_drink,None,None,Mie goreng,Default.jpg
Sweets/ candy,None,food_drink,None,None,Permen/ permen,Default.jpg
Popcorn,noun,food_drink,ˈpäp-ˌkȯrn,Jagung (Zea mays Everta sinonim Z. Mays Praecox) memiliki kernel yang saat terpapar heat meledak terbuka untuk membentuk massa bertepung putih;Juga: kernel terutama setelah muncul,Jagung meletus,Default.jpg
Wheat bread,noun,food_drink,wheat bread,Roti yang terbuat dari kombinasi tepung gandum putih dan utuh yang dibedakan dari roti yang seluruhnya terbuat dari tepung putih atau gandum utuh,Roti gandum,Default.jpg
Juice,noun,food_drink,ˈjüs,kandungan cairan sel atau jaringan yang dapat diekstraksi,Jus,Default.jpg
Fried chicken,None,food_drink,None,None,Ayam goreng,Default.jpg
Margarine,noun,food_drink,ˈmär-jə-rən,Produk makanan yang biasanya dibuat dari minyak nabati yang dipadukan dengan susu skim matang hingga emulsi halus dan digunakan seperti mentega,Margarin,Default.jpg
